Macierz kowariancji dla wyrównanych wspó³rzêdnych [m]

kat(2-1-3)	kat(2-1-4)	kat(2-1-5)	kat(2-1-6)	kat(3-2-4)	kat(3-2-1)	kat(3-2-5)	kat(3-2-6)	kat(5-3-1)	kat(5-3-6)	kat(5-3-2)	kat(5-3-4)	kat(2-4-3)	kat(2-4-5)	kat(2-4-6)	kat(2-4-1)	kat(2-5-1)	kat(2-5-3)	kat(2-5-4)	kat(2-5-6)	kat(2-6-3)	kat(2-6-1)	kat(2-6-4)	kat(2-6-5)	dl(1-6)	
0.000006169808	0.000001069199	0.000000512850	-0.000000098351	-0.000001574219	-0.000001431361	-0.000000440084	0.000000088462	0.000003175302	0.000000023916	-0.000001563146	-0.000000606196	0.000002531169	0.000000684976	0.000000936965	0.000001212058	-0.000000478427	0.000002003229	-0.000000449160	0.000000766116	0.000001498600	-0.000001618173	-0.000000725716	0.000000237570	-0.000000000000	
0.000001069199	0.000007122946	0.000001925300	0.000000291179	0.000001947943	-0.000001520674	-0.000000065542	0.000000200573	0.000000301448	0.000000516939	0.000000752923	0.000001953769	-0.000000747097	-0.000000636258	-0.000000037530	0.000003654328	0.000000470168	-0.000000687381	0.000001377227	0.000000170595	-0.000000436557	-0.000001430068	0.000001709841	-0.000000095520	0.000000000000	
0.000000512850	0.000001925300	0.000006473443	0.000001490738	-0.000000564048	-0.000002073277	0.000001155118	-0.000000181999	-0.000002552160	-0.000001364371	-0.000000991733	-0.000001345187	0.000000210594	0.000000374737	-0.000000621620	0.000000416071	0.000003245048	-0.000000163385	-0.000001344429	-0.000000414579	-0.000000190640	-0.000000400541	-0.000001003669	0.000000922538	0.000000000000	
-0.000000098351	0.000000291179	0.000001490738	0.000006464365	-0.000000344247	-0.000001018609	-0.000000706860	0.000002239272	-0.000000975855	0.000002564438	0.000000141105	0.000000392418	0.000000595560	-0.000000191608	0.000002161257	-0.000000383183	0.000001178990	0.000000565755	0.000000171006	0.000001799444	0.000000184061	0.000003206484	-0.000000422262	-0.000001146689	0.000000000000	
-0.000001574219	0.000001947943	-0.000000564048	-0.000000344247	0.000002988069	0.000001922572	0.000001577409	0.000001416318	-0.000000837293	-0.000000569159	-0.000001185646	0.000002450817	0.000000648394	-0.000000485339	-0.000000274668	0.000000882447	-0.000000218885	-0.000000391764	0.000000925320	-0.000000043611	-0.000000799831	0.000000162007	0.000001297082	0.000000117481	0.000000000000	
-0.000001431361	-0.000001520674	-0.000002073277	-0.000001018609	0.000001922572	0.000003036568	0.000002051911	0.000001842854	-0.000000177531	-0.000000679982	-0.000001782739	0.000000600037	0.000000460203	0.000000604810	0.000000361525	-0.000000406678	-0.000001088620	-0.000000269172	0.000000475472	0.000000340478	-0.000000740097	0.000000175105	0.000000441243	0.000000549535	0.000000000000	
-0.000000440084	-0.000000065542	0.000001155118	-0.000000706860	0.000001577409	0.000002051911	0.000003166295	0.000002294116	-0.000000690297	-0.000001114869	-0.000002302124	-0.000000543297	0.000000181418	0.000000605188	0.000000390983	0.000000408960	0.000000040734	-0.000000864171	-0.000000983698	0.000000795805	-0.000001106860	-0.000000949066	-0.000000325724	0.000001667984	0.000000000000	
0.000000088462	0.000000200573	-0.000000181999	0.000002239272	0.000001416318	0.000001842854	0.000002294116	0.000004986617	0.000000233409	0.000001342553	-0.000001697907	-0.000000057053	0.000000224536	0.000000367882	0.000001693421	0.000000627109	-0.000000633261	-0.000000596209	-0.000000509917	0.000000851080	-0.000001946157	-0.000000904491	-0.000001876878	-0.000001841420	-0.000000000000	
0.000003175302	0.000000301448	-0.000002552160	-0.000000975855	-0.000000837293	-0.000000177531	-0.000000690297	0.000000233409	0.000003293618	0.000001098807	0.000000295847	-0.000000174708	0.000000366738	-0.000000256173	0.000000923944	0.000000961209	-0.000002039394	0.000000394450	-0.000000403169	0.000001084036	0.000000569551	-0.000001386795	-0.000000146758	0.000000160330	-0.000000000000	
0.000000023916	0.000000516939	-0.000001364371	0.000002564438	-0.000000569159	-0.000000679982	-0.000001114869	0.000001342553	0.000001098807	0.000002701689	0.000001754873	0.000000053180	-0.000001132535	-0.000000950722	0.000001400652	0.000000406115	-0.000000929485	-0.000000640004	-0.000000405012	0.000001339077	-0.000000395737	0.000000541903	-0.000000511060	-0.000001118345	-0.000000000000	
